PROVIDERNAME,PROVIDERPRIMESPECIALTY,CATEGORYOFSERVICES,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,TOTALNUMBEROFRECIPIENTS
TIMOTHY A ONKKA  PHD,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,123,18923,22
TIMOTHY D LYNCH DDS PC,General Dentistry Practitioner,27 - Dental Services - Child,658,99229,213
TIMOTHY D LYNCH DDS PC,General Dentistry Practitioner,28 - Dental Services - Adult,1371,249592,1243
TIMOTHY S BERGER,General Dentistry Practitioner,27 - Dental Services - Child,199,24768,71
TIMOTHY S BERGER,General Dentistry Practitioner,28 - Dental Services - Adult,70,11280,26
TINA D WELDY MENTAL HEALTH COUNSELING,Outpatient Mental Health Clinic,26 - Mental Health Services,317,46313,114
TINSLEY                  ELISHEVA     L,General Dentistry Practitioner,28 - Dental Services - Adult,83,12087,177
TIPPECANOE COUNTY HEALTH DEPARTMENT,County Health Department,06 - Physician Services,143,4542,584
TIPTON FAMILY MEDICINE,Family Practitioner,06 - Physician Services,551,45812,84
TIPTON PARK DENTISTRY,General Dentistry Practitioner,27 - Dental Services - Child,99,10087,2984
TIPTON PARK DENTISTRY,General Dentistry Practitioner,28 - Dental Services - Adult,62,4761,375
TL CARE CORPORATION,General Internist,06 - Physician Services,17600,277689,49
TOLER                    SARAH        J,General Dentistry Practitioner,28 - Dental Services - Adult,463,99674,27
TOPOLGUS SURGICAL ASSOC INC,General Surgeon,06 - Physician Services,97,2300,251
TOSH FAMILY DENTAL,Dental Clinic,27 - Dental Services - Child,726,93630,740
TOSH FAMILY DENTAL,Dental Clinic,28 - Dental Services - Adult,98,15082,241
TOXUSA LABS,Independent Lab,11 - Lab Services,643,115757,307
TRACY CO LLC,General Dentistry Practitioner,27 - Dental Services - Child,56,8370,205
TRACY CO LLC,General Dentistry Practitioner,28 - Dental Services - Adult,104,22545,173
TRADERS POINT DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,209,35971,23
TRADERS POINT DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,115,28530,33
TRAFALGAR FAMILY DENTISTRY,General Dentistry Practitioner,27 - Dental Services - Child,670,85705,28
TRAFALGAR FAMILY DENTISTRY,General Dentistry Practitioner,28 - Dental Services - Adult,95,10584,86
TRAINOR                  MARY         P,Obstetrician/Gynecologist,06 - Physician Services,73,13174,37
TRANSITIONS DENTAL COMPANY,General Dentistry Practitioner,28 - Dental Services - Adult,148,35591,27
TRAVIS B BUNNELL OD PC,Optometrist,31 - Eye Care and Exams,255,37791,402
TREE CITY MEDICAL PARTNERS PC,Medical Clinic,17 - Clinic Services,2790,188561,303
TREE CITY MEDICAL PARTNERS PC,Medical Clinic,38 - EPSDT Services,209,18093,561
TRI CAP FAMILY HEALTH SERV - JASPER,Medical Clinic,17 - Clinic Services,71,4326,59
TRI CAP FAMILY HEALTH SVCS-EVANSVILLE,Family Planning Clinic,17 - Clinic Services,56,5430,142
TRI STATE FAMILY DENTAL CENTERS,General Dentistry Practitioner,27 - Dental Services - Child,53,3494,269
TRI STATE FAMILY DENTAL CENTERS,General Dentistry Practitioner,27 - Dental Services - Child,38,3122,26
TRI STATE OPHTHALMOLOGY CONSULTANTS,Ophthalmologist,31 - Eye Care and Exams,272,38674,777
TRI STATE ORAL SURGERY LLC,Oral Surgeon,27 - Dental Services - Child,112,81098,25
TRI STATE ORAL SURGERY LLC,Oral Surgeon,28 - Dental Services - Adult,69,22195,440
TRI STATE ORTHOPAEDIC SURGEONS INC,Orthopedic Surgeon,06 - Physician Services,11820,1405221,67
TRI STATE ORTHOPAEDIC SURGEONS INC,Orthopedic Surgeon,12 - X-Ray Services,1064,36455,165
TRI STATE PATHOLOGY ASSOC,Pathologist,06 - Physician Services,1134,82513,2144
TRI STATE PATHOLOGY ASSOC,Pathologist,11 - Lab Services,1327,42572,750
TRI STATE RADIATION ONCOLOGY CTRS LLC,Radiologist,06 - Physician Services,443,75804,113
TRI-STATE BEHAVORIAL HEALTH LLC,Psychiatrist,26 - Mental Health Services,379,6729,156
TRI-STATE GASTROENTEROLOGY PC,Gastroenterologist,06 - Physician Services,899,67831,392
TRI-STATE NEUROSURGICAL INC,Neurological Surgeon,06 - Physician Services,40,5794,22
TRI-STATE ORTHOPAEDIC SURGOENS INC,Medical Clinic,17 - Clinic Services,94,7956,49
TRI-STATE ORTHOPAEDIC SURGOENS INC,Medical Clinic,17 - Clinic Services,95,10131,120
TRI-STATE PERINATOLOGY,Obstetrician/Gynecologist,06 - Physician Services,3431,275128,1415
TRI-STATE PERINATOLOGY,Obstetrician/Gynecologist,12 - X-Ray Services,947,38013,296
TRICOUNTY SURGERY,Medical Clinic,17 - Clinic Services,907,123223,376
TRIHEALTH G LLC,Medical Clinic,17 - Clinic Services,270,3284,82
TRIHEALTH PHYSICIANS OF INDIANA,Medical Clinic,17 - Clinic Services,174,9182,666
TRIHEALTH PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,884,62973,102
TRINITY DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,76,10530,230
TRINITY DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,987,186924,53
TRISTATE MEDICAL LAB,Independent Lab,11 - Lab Services,447,23443,25
TRISTATE ORTHOPAEDIC SURGEONS INC,Therapy Clinic,17 - Clinic Services,2429,330639,268
TRISTATE ORTHOPAEDIC SURGEONS INC,Therapy Clinic,26 - Mental Health Services,2390,274917,294
TRISTATE ORTHOPAEDIC TREATMENT CTR,Medical Clinic,17 - Clinic Services,268,12571,56
TROUT                    SCOTT        E,General Dentistry Practitioner,27 - Dental Services - Child,46,4838,105
TROUTMAN FAMILY DENTISTRY PC,General Dentistry Practitioner,27 - Dental Services - Child,56,6421,22
TROY CLINIC,Medical Clinic,17 - Clinic Services,460,25992,531
TROY CLINIC,Medical Clinic,38 - EPSDT Services,68,5983,457
TROY CLINIC,Rural Health Clinic (RHC),17 - Clinic Services,125,7815,455
TULIP TREE FAMILY HEALTH CENTER,Medical Clinic,17 - Clinic Services,3197,190930,21
TULIP TREE FAMILY HEALTH CENTER,Medical Clinic,27 - Dental Services - Child,287,15341,69
TULIP TREE FAMILY HEALTH CENTER,Medical Clinic,28 - Dental Services - Adult,1416,144430,24
TURNER                   JEFFREY      A,General Dentistry Practitioner,27 - Dental Services - Child,299,59313,23
TURNER                   JEFFREY      A,General Dentistry Practitioner,28 - Dental Services - Adult,50,10058,175
TURNER                   MARY         K,General Surgeon,06 - Physician Services,295,55307,28
TURNER                   VERONICA     J,General Dentistry Practitioner,27 - Dental Services - Child,214,24509,61
TURNER SR                ANTONIO      M,Optometrist,31 - Eye Care and Exams,102,23639,95
TURNSTONE CTR FOR DSABLD CHLDRN CLINIC,Medical Clinic,17 - Clinic Services,2021,333094,316
TUTTLE LLC,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,90,14737,74
TWEEDY                   JEFFREY      L,Optometrist,31 - Eye Care and Exams,215,27155,75
TWIN RIVERS MED LAB INC,Independent Lab,11 - Lab Services,2204,49865,489
TYRONE SMITH JR,General Dentistry Practitioner,27 - Dental Services - Child,1296,178459,49
TYRONE SMITH JR,General Dentistry Practitioner,28 - Dental Services - Adult,541,69978,63
TYSON SCHWAB SHORT WEIS STE 600,Radiologist,06 - Physician Services,365,15625,49
TYSON SCHWAB SHORT WEIS STE 600,Radiologist,12 - X-Ray Services,298,7666,183
"TYSON,SCHWAB,SHORT & WEISS/200 ABRAHAM",Radiologist,06 - Physician Services,325,5052,52
"TYSON,SCHWAB,SHORT & WEISS/200 ABRAHAM",Radiologist,12 - X-Ray Services,605,1702,189
UMAPATHY MD PC,Nephrologist,06 - Physician Services,1983,41262,49
UMAPATHY MD PC,Nephrologist,06 - Physician Services,141,11293,111
UNGAR-SARGON             JULIAN,Neurologist,06 - Physician Services,8086,842901,356
UNGAR-SARGON             JULIAN,Neurologist,12 - X-Ray Services,213,22489,51
UNIFIED ANESTHESIA SERVICES LLC,Anesthesiologist,06 - Physician Services,1676,112206,53
UNIFIED ANESTHESIA SERVICES LLC,Anesthesiologist,06 - Physician Services,1408,276305,142
UNIFIED ANESTHESIA SERVICES LLC,Anesthesiologist,06 - Physician Services,330,38578,26
UNIFIED ANESTHESIA SERVICES LLC,Anesthesiologist,06 - Physician Services,39,9355,242
UNIFIED SOLUTIONS LLC,Outpatient Mental Health Clinic,26 - Mental Health Services,3664,324255,141
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,72948,4100031,206
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,38 - EPSDT Services,869,75034,31
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,3641,339971,361
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,38 - EPSDT Services,92,7467,47
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,846,118118,369
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,95,1770,438
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,8450,1189125,46
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,85,16431,416
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,143,6184,66
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,1146,72093,523
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,38 - EPSDT Services,40,2211,212
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,140,6211,79
UNION ASSOCIATED PHYSICIANS CLINIC LLC,Medical Clinic,17 - Clinic Services,10865,1131193,181
"UNION ASSOCIATED PHYSICIANS CLINIC, LLC",Medical Clinic,17 - Clinic Services,214,11989,1289
UNION COUNTY HEALTH DEPARTMENT,Rural Health Clinic (RHC),17 - Clinic Services,282,10024,215
UNION COUNTY MEDICAL CENTER,Family Practitioner,06 - Physician Services,748,52153,28
UNION COUNTY MEDICAL CENTER,Family Practitioner,38 - EPSDT Services,23,2053,44
UNION FAMILY MEDICINE WEST- CLOSED,Medical Clinic,17 - Clinic Services,37,2963,413
UNION HOSPITAL,Neonatologist,06 - Physician Services,1916,206730,3415
UNION HOSPITAL,Neonatologist,38 - EPSDT Services,225,13050,35
UNION HOSPITAL - FAMILY PRACTICE CENTER,Family Practitioner,06 - Physician Services,1713,170751,331
UNION HOSPITAL CLINTON,Acute Care,01 - Inpatient Services,199,550669,121
UNION HOSPITAL CLINTON,Acute Care,03 - Outpatient Services,10792,2171329,109
UNION HOSPITAL INC,Acute Care,01 - Inpatient Services,4566,20556284,39
UNION HOSPITAL INC,Acute Care,03 - Outpatient Services,61126,23805663,58
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,725,47705,755
UNION HOSPITAL INC,Medical Clinic,38 - EPSDT Services,38,3345,50
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,1311,95585,245
UNION HOSPITAL INC,Medical Clinic,38 - EPSDT Services,29,2523,63
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,635,45053,35
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,380,25663,255
UNION HOSPITAL INC,Medical Clinic,38 - EPSDT Services,31,2749,42
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,66,4948,65
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,293,13435,62
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,1095,142257,37
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,2087,238685,22
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,683,51921,201
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,345,23374,133
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,709,48781,846
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,31,10118,751
UNION HOSPITAL INC,Medical Clinic,17 - Clinic Services,319,28914,182
UNION HOSPITAL INC - PROFESSIONAL GRP,Medical Clinic,17 - Clinic Services,9878,800288,130
UNION HOSPTAL INC,Medical Clinic,17 - Clinic Services,111,20635,2301
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,27 - Dental Services - Child,275,40733,334
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,28 - Dental Services - Adult,298,52845,68
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,27 - Dental Services - Child,228,28195,165
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,28 - Dental Services - Adult,183,34948,41
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,27 - Dental Services - Child,355,48222,50
UNITED DENTAL CENTERS PC,General Dentistry Practitioner,28 - Dental Services - Adult,67,7156,54
UNITED FAMILY CARE,Medical Clinic,17 - Clinic Services,407,42446,219
UNITED PHYSICIANS LLC,General Practitioner,06 - Physician Services,155,6797,24
UNITED WELLNESS AND INTEGRATIVE HEALTH,Medical Clinic,17 - Clinic Services,278,13713,257
UNITY FAMILY MEDICINE AT FULMER,Family Practitioner,06 - Physician Services,968,69506,89
UNITY FAMILY MEDICINE AT FULMER,Family Practitioner,38 - EPSDT Services,34,3062,370
UNITY FAMILY MEDICINE SOUTH BEND,Family Practitioner,06 - Physician Services,422,12093,89
UNITY HEALTHCARE LLC,Medical Clinic,17 - Clinic Services,2170,168787,45
UNITY HEALTHCARE LLC,Medical Clinic,38 - EPSDT Services,325,28600,50
UNITY HEALTHCARE LLC,Medical Clinic,17 - Clinic Services,517,11154,42
UNITY HEALTHCARE LLC,General Pediatrician,06 - Physician Services,4351,365802,447
UNITY HEALTHCARE LLC,General Pediatrician,11 - Lab Services,34,1188,100
UNITY HEALTHCARE LLC,General Pediatrician,38 - EPSDT Services,424,37162,114
UNITY HEALTHCARE LLC,Gastroenterologist,06 - Physician Services,60,8782,37
UNITY HEALTHCARE LLC-BURGETT EYE CARE,Medical Clinic,17 - Clinic Services,779,48562,3645
UNITY HEALTHCARE LLC-D BEGLEY,Medical Clinic,17 - Clinic Services,126,5942,50
UNITY HEALTHCARE LLC-DAVID R POTTS MD,Medical Clinic,17 - Clinic Services,530,22459,22
UNITY HEALTHCARE LLC-GAGAN S CHADHA MD,Medical Clinic,17 - Clinic Services,329,30886,56
UNITY HEALTHCARE LLC-LAF CLNC  UROLOGY,Medical Clinic,17 - Clinic Services,392,26436,965
UNITY HEALTHCARE LLC/CHRISTOPHER A MOON,Podiatrist,12 - X-Ray Services,40,852,183
UNITY HEALTHCARE LLC/FAITH HOPE & LOVE,Medical Clinic,17 - Clinic Services,649,57040,68
UNITY MEDICAL & SURGICAL HOSPITAL,Acute Care,01 - Inpatient Services,29,33266,1158
UNITY MEDICAL & SURGICAL HOSPITAL,Acute Care,03 - Outpatient Services,542,127831,131
UNITY MEDICAL CLINIC,Medical Clinic,17 - Clinic Services,1776,106170,62
UNITY MEDICAL CLINIC,Medical Clinic,17 - Clinic Services,467,29210,293
UNIV CLINICAL PATH IU HEALTH BALL HOSP,Pathologist,06 - Physician Services,219,13059,61
UNIV CLINICAL PATH IU HEALTH BALL HOSP,Pathologist,11 - Lab Services,113,3374,119
UNIV CLINICAL PATHOLOGY - NORTH,Pathologist,06 - Physician Services,226,17489,348
UNIV CLINICAL PATHOLOGY - NORTH,Pathologist,11 - Lab Services,85,4164,197
UNIV CLINICAL PATHOLOGY WEST,Pathologist,06 - Physician Services,87,4864,65
UNIV CLINICAL PATHOLOGY WEST,Pathologist,11 - Lab Services,33,1409,29
UNIV OF CHICAGO COMER CHILDRENS HOSP,Acute Care,01 - Inpatient Services,133,1335395,246
UNIV OF CHICAGO COMER CHILDRENS HOSP,Acute Care,03 - Outpatient Services,377,85814,134
UNIV OF LOUISVILLE SCH OF DENTISTRY,Dental Clinic,27 - Dental Services - Child,41,5308,39
UNIV OTOLARYNGOLOGY ASSOC INC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,2120,501336,26
UNIV OTOLARYNGOLOGY ASSOC INC -W TENTH,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,316,60632,75
UNIV SURGEONS INC -IU HEALTH TIPTON HOS,General Surgeon,06 - Physician Services,129,26877,377
UNIVERISTY OF LOUISVILLE PHYSICIANS INC,Neurological Surgeon,06 - Physician Services,57,7842,102
UNIVERSAL ANESTHESIA SERVICES LLC,Anesthesiologist,06 - Physician Services,54,5506,114
UNIVERSITY CLINICAL PATHOLOGY ARNETT,Pathologist,06 - Physician Services,438,22001,31
UNIVERSITY CLINICAL PATHOLOGY ARNETT,Pathologist,11 - Lab Services,2197,29205,298
UNIVERSITY CLINICAL PATHOLOGY ASSOC PC,Pathologist,06 - Physician Services,214,16038,92
UNIVERSITY CLINICAL PATHOLOGY ASSOC PC,Pathologist,11 - Lab Services,503,29417,126
UNIVERSITY CLINICAL PATHOLOGY ASSOC PC,Pathologist,06 - Physician Services,967,73726,89
UNIVERSITY CLINICAL PATHOLOGY ASSOC PC,Pathologist,11 - Lab Services,700,30893,101
UNIVERSITY CLINICAL PATHOLOGY-SENATE,Pathologist,06 - Physician Services,140,8846,3596
UNIVERSITY CLINICAL PATHOLOGY-SENATE,Pathologist,11 - Lab Services,629,30056,125
UNIVERSITY CLINICAL PATHOLOGY/ESKENAZI,Pathologist,06 - Physician Services,1689,113754,134
UNIVERSITY CLINICAL PATHOLOGY/ESKENAZI,Pathologist,11 - Lab Services,184,7586,47
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,4770,369872,28
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,2055,143830,68
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,707,47538,94
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,117,9214,36
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,309,34986,212
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,219,21680,29
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,452,39426,881
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,110,8898,1686
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,62,4705,44
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,1057,81810,272
UNIVERSITY DERMATOLOGY INC,Dermatologist,06 - Physician Services,235,18608,24
"UNIVERSITY DERMATOLOGY, INC",Dermatologist,06 - Physician Services,87,6250,31
UNIVERSITY EYE INSTITUTE P.C.,Optometrist,31 - Eye Care and Exams,286,49439,154
UNIVERSITY FAMILY  PHYSICIANS INC,Urologist,06 - Physician Services,44,3987,69
UNIVERSITY FAMILY PHYS-MICHIGAN ST,Family Practitioner,06 - Physician Services,13453,999283,29
UNIVERSITY FAMILY PHYS-MICHIGAN ST,Family Practitioner,11 - Lab Services,996,34215,111
UNIVERSITY FAMILY PHYS-MICHIGAN ST,Family Practitioner,12 - X-Ray Services,144,3381,176
UNIVERSITY FAMILY PHYS-MICHIGAN ST,Family Practitioner,38 - EPSDT Services,414,37358,169
UNIVERSITY FAMILY PHYSICIAN,Family Practitioner,06 - Physician Services,95,10728,309
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,1808,199737,79
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,201,10960,108
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,33324,1282711,39
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,3216,3642,47
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,12 - X-Ray Services,91,1790,27
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,442,38727,38
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,4529,372415,184
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,573,23010,76
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,60,5600,2041
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,1831,183678,595
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,36,1675,123
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,7326,568695,45
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,101,6018,877
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,521,45936,53
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,448,46610,39
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,40,1329,172
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,3412,275823,49
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,138,6483,39
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,23,2035,60
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,184,24935,300
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,1860,144884,43
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,165,11318,64
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,142,12601,79
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,2109,176699,87
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,164,14409,2195
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,6719,580639,6786
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,11 - Lab Services,762,34528,444
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,944,83705,170
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,3486,250856,163
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,336,29564,138
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,1300,83542,349
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,38 - EPSDT Services,90,7962,204
UNIVERSITY FAMILY PHYSICIANS INC,General Practitioner,06 - Physician Services,1640,122031,37
UNIVERSITY FAMILY PHYSICIANS INC,General Practitioner,38 - EPSDT Services,146,12829,477
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,161,11516,168
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,294,38059,155
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,626,63646,21
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,117,10499,2968
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,363,34858,141
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,47,4641,35
UNIVERSITY FAMILY PHYSICIANS INC,General Practitioner,06 - Physician Services,70,5785,21
UNIVERSITY FAMILY PHYSICIANS INC,General Pediatrician,06 - Physician Services,2035,183018,48
UNIVERSITY FAMILY PHYSICIANS INC,General Pediatrician,11 - Lab Services,1572,82589,32
UNIVERSITY FAMILY PHYSICIANS INC,General Pediatrician,38 - EPSDT Services,73,6653,83
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,06 - Physician Services,200,19450,100
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,11 - Lab Services,44,2234,60
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,175,20309,276
UNIVERSITY FAMILY PHYSICIANS INC,Family Practitioner,06 - Physician Services,92,8927,135
UNIVERSITY FAMILY PHYSICIANS INC,Ophthalmologist,06 - Physician Services,297,46873,144
UNIVERSITY FAMILY PHYSICIANS INC,Pathologist,06 - Physician Services,314,22767,28
UNIVERSITY FAMILY PHYSICIANS INC,Ophthalmologist,06 - Physician Services,157,14667,23
UNIVERSITY FAMILY PHYSICIANS INC,Ophthalmologist,31 - Eye Care and Exams,119,9236,53
UNIVERSITY FAMILY PHYSICIANS INC,Pathologist,06 - Physician Services,42,4261,94
UNIVERSITY FAMILY PHYSICIANS INC,Pathologist,11 - Lab Services,40,2107,292
UNIVERSITY FAMILY PHYSICIANS INC,Pathologist,06 - Physician Services,75,4996,28
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,06 - Physician Services,194,16381,367
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,06 - Physician Services,343,33429,22
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,11 - Lab Services,120,8685,51
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,184,19371,27
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,269,38956,311
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,11 - Lab Services,30,1861,50
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,80,14209,1292
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,11 - Lab Services,47,4141,228
UNIVERSITY FAMILY PHYSICIANS INC,Physical Medicine and Rehabilitation Practitioner,31 - Eye Care and Exams,53,8286,75
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,06 - Physician Services,826,78811,34
UNIVERSITY FAMILY PHYSICIANS INC,General Internist,11 - Lab Services,416,17696,106
UNIVERSITY FAMILY PHYSICIANS INC,Ophthalmologist,31 - Eye Care and Exams,154,17748,108
UNIVERSITY FAMILY PHYSICIANS INC,Ophthalmologist,31 - Eye Care and Exams,274,48321,50
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,06 - Physician Services,2081,195636,362
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,11 - Lab Services,309,19126,32
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,38 - EPSDT Services,184,16770,33
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,06 - Physician Services,270,27125,173
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,11 - Lab Services,65,3512,79
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,38 - EPSDT Services,37,3328,126
UNIVERSITY FAMILY PHYSICIANS INC,Urologist,06 - Physician Services,25,2575,38
UNIVERSITY FAMILY PHYSICIANS WEST,Family Practitioner,06 - Physician Services,904,87321,129
UNIVERSITY FAMILY PHYSICIANS WEST,Family Practitioner,38 - EPSDT Services,41,3596,63
UNIVERSITY MEADOWS FAMILY DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,332,49224,1107
UNIVERSITY MEADOWS FAMILY DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,245,66481,85
UNIVERSITY MED DIAGNOSTIC ASSOC,Medical Clinic,17 - Clinic Services,159,18558,54
UNIVERSITY MED DIAGNOSTIC ASSOC-1701,Medical Clinic,17 - Clinic Services,2033,241080,323
UNIVERSITY MED DIAGNOSTIC ASSOC-1801,Medical Clinic,17 - Clinic Services,1478,112823,26
UNIVERSITY MED DIAGNOSTIC ASSOC-BARNHIL,Medical Clinic,17 - Clinic Services,1549,172410,147
UNIVERSITY MED DIAGNOSTIC ASSOC-DANVILL,Medical Clinic,17 - Clinic Services,124,11041,84
UNIVERSITY MED DIAGNOSTIC ASSOC.-1700,Medical Clinic,17 - Clinic Services,143,15233,218
